_id,destination,title,shortDescription,description,images[0].url,images[0].public_id,duration,distance,location,category,bestTime,priceRange,difficultyLevel,icon,highlights[0],highlights[1],highlights[2],highlights[3],tips[0],tips[1],updatedAt,createdAt,__v
6a5b9193fbc925e6fcc12ca6,6a1afd95c900cb7eb1ac533a,Toy Train Ride,Enjoy the iconic UNESCO-listed Darjeeling Himalayan Railway through breathtaking mountain landscapes.,"Experience one of Darjeeling's most famous attractions aboard the historic Toy Train. Travel through tea gardens, tunnels, charming hill villages, and panoramic Himalayan viewpoints while enjoying one of India's most scenic railway journeys.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784387401/travelbharat/hkq00sxfrfjvrh66hrwy.jpg,travelbharat/hkq00sxfrfjvrh66hrwy,2 Hours,14 km,Darjeeling Himalayan Railway,Heritage,March to June,₹800 - ₹1500,Easy,false,UNESCO Heritage,Mountain Views,Historic Railway,Tea Gardens,Book tickets early,Carry a light jacket,2026-07-18T15:10:03.108Z,,
6a5b9babfbc925e6fcc12cd3,6a1afd95c900cb7eb1ac533a,Tea Garden Walk,Walk through world-famous Darjeeling tea estates and learn traditional tea cultivation.,"Explore lush green tea gardens with guided plantation walks. Learn how premium Darjeeling tea is cultivated, harvested, processed, and enjoy fresh tea tasting surrounded by Himalayan scenery.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445226/travelbharat/porpr5rvkowjql4nvtdv.jpg,travelbharat/porpr5rvkowjql4nvtdv,3 Hours,6 km,Darjeeling Tea Estates,Nature,March to November,₹300 - ₹800,Easy,false,Tea Plantation,Tea Tasting,Local Culture,Mountain Landscape,Wear comfortable shoes,Respect plantation rules,2026-07-19T07:13:46.429Z,,
6a5b9babfbc925e6fcc12cd2,6a1afd95c900cb7eb1ac533a,Tiger Hill Sunrise Tour,Witness the spectacular sunrise over Kanchenjunga from the famous Tiger Hill viewpoint.,"Start your morning before dawn and travel to Tiger Hill to experience one of the most breathtaking Himalayan sunrises. On clear days, enjoy stunning views of Kanchenjunga glowing in golden light.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445035/travelbharat/tnpdkvoat0o8ug6ox3vp.jpg,travelbharat/tnpdkvoat0o8ug6ox3vp,4 Hours,11 km,Tiger Hill,Nature,October to April,₹500 - ₹1200,Easy,false,Kanchenjunga Views,Golden Sunrise,Scenic Drive,Photography Spot,Leave before dawn,Carry warm clothes,2026-07-19T07:10:36.049Z,,
6a5b9babfbc925e6fcc12cd4,6a1afd95c900cb7eb1ac533a,Himalayan Ropeway Ride,"Enjoy panoramic aerial views of Darjeeling's valleys, forests, and tea gardens by cable car.",Take a scenic ropeway ride across lush valleys and tea plantations while admiring spectacular Himalayan landscapes. The cable car offers one of the best aerial experiences in Darjeeling for photographers and families alike.,https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445314/travelbharat/vx8sbxdtfque2zfwhilf.jpg,travelbharat/vx8sbxdtfque2zfwhilf,45 Minutes,3 km,Darjeeling Ropeway,Adventure,October to May,₹250 - ₹500,Easy,false,Aerial Views,Tea Gardens,Mountain Panorama,Photography,Visit on clear days,Keep camera ready,2026-07-19T07:15:14.994Z,,
6a5b9c83ca7553faac20ab3e,6a1afd95c900cb7eb1ac533a,Nostrum nobis eius e,Minima pariatur Nos,"v bn bv bvnm bnvbfxbhg,hjhfsdfghfk,.jhhgfdzxdafsfgkjl;lkjhgfxdzsdfghjk,./l;kljhgfdsadfghjykuli;okjlhbvgcfxdsdafgzscdsvdvdsd",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784388739/travelbharat/ohvhlu4j7ocnkbu10guu.jpg,travelbharat/ohvhlu4j7ocnkbu10guu,Odio sunt optio aut,Quo eum adipisicing ,Qui soluta voluptate,Nature,Quo est elit ut ali,135,Moderate,true,Anim incididunt in u,Anim incididunt in ucvv,,,,,2026-07-18T15:32:19.810Z,2026-07-18T15:32:19.810Z,0
6a5ba2dbfbc925e6fcc12cdf,6a4a36c5732595d33bf3afcf,Yak Riding Experience,Enjoy a memorable yak ride through Kufri's scenic mountain trails.,Ride a beautifully decorated Himalayan yak while exploring Kufri's picturesque surroundings. This traditional mountain experience is especially popular among families and first-time visitors.,https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445441/travelbharat/jsbs8d2i0dzpmmj9nqvf.jpg,travelbharat/jsbs8d2i0dzpmmj9nqvf,30 Minutes,500 m,Kufri Adventure Zone,Family,Throughout the Year,₹200 - ₹500,Easy,false,Yak Ride,Family Activity,Mountain Views,Photo Opportunity,Follow handler instructions,Keep your camera ready,2026-07-19T07:17:21.688Z,,
6a5ba2dbfbc925e6fcc12ce0,6a4a36c5732595d33bf3afcf,Nature Park Walk,Discover Himalayan wildlife and beautiful forest trails inside the nature park.,"Take a peaceful walk through the Himalayan Nature Park where you can spot native wildlife, colorful birds, and rare Himalayan flora while enjoying the fresh mountain air.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445479/travelbharat/hrdvaekpqjsfsiy63h0y.jpg,travelbharat/hrdvaekpqjsfsiy63h0y,2 Hours,1 km,Himalayan Nature Park,Nature,March to November,₹100 - ₹300,Easy,false,Wildlife Viewing,Nature Trails,Bird Watching,Forest Experience,Carry binoculars,Avoid disturbing wildlife,2026-07-19T07:17:59.511Z,,
6a5ba2dbfbc925e6fcc12cdd,6a4a36c5732595d33bf3afcf,Mahasu Peak Trek,Trek to Kufri's highest viewpoint for spectacular Himalayan panoramas.,Embark on a scenic trek to Mahasu Peak through pine and cedar forests while enjoying breathtaking views of the snow-covered Himalayan ranges. This is one of Kufri's most popular outdoor adventures for nature lovers and photographers.,,,3 Hours,2 km,"Mahasu Peak, Kufri",Adventure,March to June & December to February,₹300 - ₹700,Moderate,mountain,Mahasu Peak,Himalayan Views,Forest Trail,Photography,Wear trekking shoes,Carry drinking water,,,
6a5ba2dbfbc925e6fcc12cde,6a4a36c5732595d33bf3afcf,Skiing Adventure,Experience thrilling skiing on Kufri's famous snowy slopes.,"During winter, Kufri transforms into one of Himachal Pradesh's top skiing destinations. Enjoy skiing with professional instructors while surrounded by stunning Himalayan landscapes.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445367/travelbharat/mh6nilfgg0tdjbcxxmp4.jpg,travelbharat/mh6nilfgg0tdjbcxxmp4,2 Hours,1 km,Kufri Ski Slopes,Adventure,December to February,₹800 - ₹2500,Moderate,false,Snow Activities,Ski Equipment,Winter Adventure,Mountain Views,Wear thermal clothing,Book equipment early,2026-07-19T07:16:07.605Z,,
6a5ba38afbc925e6fcc12ce5,6a4a384f732595d33bf3afd1,Horse Riding Trail,Ride through scenic cedar forests and rolling Himalayan meadows.,"Experience horse riding along peaceful mountain trails surrounded by lush cedar forests and panoramic Himalayan scenery, making it one of Naldehra's most enjoyable outdoor activities.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445541/travelbharat/qiey4j5mrltmckj3d4c8.jpg,travelbharat/qiey4j5mrltmckj3d4c8,1 Hour,2 km,Naldehra Riding Trails,Adventure,March to November,₹400 - ₹900,Easy,false,Scenic Trails,Horse Riding,Forest Views,Mountain Landscape,Follow instructor guidance,Wear closed-toe shoes,2026-07-19T07:19:01.798Z,,
